Job Title,Job_URL,EX_level_demand,Time_Limitation,Search_Keyword,Posted_from,Description,Category1_URL_search,Category_1,highlight,Category2_URL_search,Category_2,Category3_URL_search,Category_3,Category4_URL_search,Category_4,Category5_URL_search,Category_5,Category6_URL_search,Category_6,Category7_URL_search,Category_7,Category8_URL_search,Category_8,Category9_URL_search,Category_9,Applicants_Num,Payment_Situation,Enterprise_Client,Freelancers_Num,Spent($),Client_Country,Connects_Num,New_Connects_Num,Rating,Feedback_Num,Payment_type,Job_Cost,Hourly_Rate,Start_rate,End_rate
Web sayfası basıt olanlardan kurulum enterasyonu hazır hale getırılmesı,https://www.upwork.com/jobs/Web-sayfas-bas-olanlardan-kurulum-enterasyonu-haz-hale-get-lmes_~01263c5d2b674c5c45/,Intermediate,"More than 6 months, Less than 30 hrs/week",Data_science,1 hour ago,kendısıne soyledıgım sıtelerden uyelıkler veya sıte kurulumlarının tamamlanması yenı doneler cıkarması kaynak uretmesı ıle yaptıgı ısten yuzde oran verıcem almanya vatandası dıyelım evde oturarak para kazanıcak serbest rahat bır ıs olucak onun ıcn ke ııs alabılır,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730136649728,Data Entry,Data Entry,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626741180252160,German,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626774663380992,Researcher,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626739942932480,French,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626788957569024,German to English Translation,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626778853490688,Search Engine Optimization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580620865032192,Content Localization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580665769250816,Product Documentation,Less than 5,Payment unverified,,1,0,Turkey,4,8,,0,Hourly,,$16.00-$45.00,$16.00 ,$45.00 
Domo dashboard creation,https://www.upwork.com/jobs/Domo-dashboard-creation_~01d7883456beb61c00/,Expert,"1 to 3 months, Less than 30 hrs/week",Data_science,1 hour ago,"We are a consumer packaged goods start up.  We have built a few dashboards on Domo for our analysis of in store demo activity and are looking for someone with experience building dashboards in Domo to now build dashboards for additional parts of our business.
Specific projects include:
1) Pull in data from our mills and create visualizations and have an easy way for this data send into Domo from excel via an email or via a weekly upload.
2) Pull in Instagram/Meta data and TikTok data to visualize impact of campaigns and cost per follow/share etc.
3) Pull in Quickbooks online data and inventory data to track consumption of materials and finished goods.
4) Clean up current dashboards and add in better functionality - e.g. better drill downs vs. what we have currently.  Automate reports to send to specific team members.

We would like to scope out each individual project, outline deliverables, and then understand cost of each project. We can roll into each project successively.

Only experienced practicioners with Domo should apply for this work.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626732720340992,Domo,data,,,,,,,,,,,,,,,,,5 to 10,Payment unverified,,1,0,United States,6,12,,0,Hourly,,$40.00-$100.00,$40.00 ,$100.00 
API StoneX - Data Extraction,https://www.upwork.com/jobs/API-StoneX-span-Data-span-Extraction_~0193cfb71e2c8f9321/,Intermediate,"Less than 1 month, not_sure",Data_science,1 hour ago,"https://developer.stonex.com/products/books-records

using this code base, we will be pulling data

ideally, we could work together in the office for a day or two. 

looking for some small work now, but may have more later.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944,Data Extraction,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1204836473814237184,Python-Requests,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482322976768,API,,,,,,,,,,,Less than 5,Payment verified,,1,800,United States,2,4,,0,Hourly,,$10.00-$50.00,$10.00 ,$50.00 
Machine Learning Engineer,https://www.upwork.com/jobs/Machine-Learning-Engineer_~01d212ef8606fb9148/,Intermediate,"3 to 6 months, Less than 30 hrs/week",Data_science,1 hour ago,"huru is a health and wellness technology startup. Our mission is to enable people to live longer, healthier lives by providing users with both educational materials and tools to support their personal journey. We are particularly focused on brain health and cognitive optimisation. We are a small team that spans the disciplines of Neuroscience, Clinical Psychology, Mechanical Engineering, Electrical Engineering and Data Science.

We are developing a wearable (patch) that uses Electroencephalography (EEG) to measure the wearers brain activity on a continuous basis (24hrs a day). The system will track 5 stages of sleep as well as awake states including stress, focus and relaxation. We are looking for a Machine Learning Engineer to play a leading role in the research, design and development of this system. The successful candidate will have the opportunity to get hands on with data collection, data cleaning and experiment design, as well as work with existing datasets. Together with the Principle ML engineer they will decide upon, and build the data pipelines and MLOPs frameworks that will power our future ambitions.

Essential roles of function: 

• Analysis and interpretation of data collected from huru's EEG sensors, accelerometers, and other biofeedback devices. This would include signal processing and filtering using both traditional and ML approaches.
• Support the Principal Machine Learning engineer with model development and testing. 
• Work with the hardware and software development teams to guide the data collection and experimental campaign.
• Write production-ready Python code ready for deployment. 
• Conduct literature reviews and stay apprised of recent developments.

You should apply if you have:

• Masters in Computer Science or a related field and a strong interest in a biomedical career.
• 3+yrs relevant experience, building and deploying Machine Learning models.
• Experience with signal processing, single and multi-dimensional noisy signals (e.g ECG/EEG/MEG etc.)
• Excellent programming skills in Python.
• Experience building multi-class classifiers and regressors. • Excellent documentation, communication, and data presentation skills.
• Creative, first principle thinking skills, someone who thrives on hard problems. 
• A willingness to learn new methods, experiment, and take risks.

Advantageous

• Experience with feature engineering for time series signals. 
• Experience with AWS S3, EC2, dynamo Db and related data infrastructure. 
• Experience with google colab. 
• Experience with Weight & Biases or similar experiment tracking tools. • Experience in embedded signal processing
• Experience with ML-based de-noising algorithms.
• Programming skills in software for simulation, and testing (e.g. Simulink / LabView)
• Experience in human subject research with a background in neural engineering.
• UK based

The role is 100% remote with flexible hours. Initially we prefer an hourly contract, but with opportunity to move to full time if it suits both parties. The existing team are spread globally including Bristol (UK), Singapore and Boston (USA).

Why join huru:

Work amongst fellow engineers and scientists passionate about solving some of the world's biggest problems, like how to keep our minds sharp and stay healthy as we age! Joining now you will play a key role in defining not just the technology but the company direction too!",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730384113664,Data Science,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730904207360,Deep Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342877003165696,Feature Extraction,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342899790819328,Unsupervised Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626731965366272,Digital Signal Processing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1484275067837403136,Biomedical Engineering,,,Less than 5,Payment unverified,,1,0,United Kingdom,6,12,,0,Hourly,,$18.00-$40.00,$18.00 ,$40.00 
Product Image Scraping,https://www.upwork.com/jobs/Product-Image-Scraping_~016eaf580e48975d26/,Entry level,"Less than 1 month, Hours to be determined",Data_science,1 hour ago,"We need images scraped from multiple online sites. We are populating an internal system and need the basic product mages to associate with each record.

There are roughly 5-8 websites we need to extract information from.

There are roughly 500-1000 images to collect.

We'll need a table with the original link, the file name, and a path name.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730136649728,Data Entry,Data Entry,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730287644672,Data Mining,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626778132070400,Scrapy,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626774663380992,Researcher,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580732286717952,Virtual Assistance,,,20 to 50,Payment unverified,,1,0,Finland,1,2,,0,Hourly,,,0,
Computer vision developer needed for AI project,https://www.upwork.com/jobs/Computer-vision-developer-needed-for-project_~01ea74d29db378a5ec/,Expert,"More than 6 months, Less than 30 hrs/week",Data_science,1 hour ago,"To whom it may concern,

We are looking for a computer vision engineer to take part in an exiting new AI project application. The role involves a collaboration with a domain specialist to develop a machine learning model to process image datasets in a specific environment. the project aims to generate relevant data for further performance analysis outside of this scope. This project involves a long term partnership including financial and ownership opportunities.

The desired skills may include :

Strong expertise in AI & ML, big data, data science, QA
Versatile technical stack: Python, OpenCV, VisionWorks, PyTorch, TensorFlow, Caffe, SimpleCV, Visosuite, tensorflow, CUDA, MATLAB, Keras, BoofCV, Openvino etc.;
Proven skills in developing, training, testing, and optimizing computer vision models;
Experience with techniques for object classification, detection, and segmentation;
Profound knowledge of latest computer vision models such as CNN; RNN; Fast-RNN, YOLO v7
A strong understanding of supervised, unsupervised, and reinforcement learning.

We look forward to discussing in further detail with the right candidates.

Best regards,
Philippe",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626726596657152,Computer Vision,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730904207360,Deep Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580640142053376,Neural Network,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626747383627776,Image Processing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626756875337728,MATLAB,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626785698594816,TensorFlow,,,10 to 15,Payment unverified,,1,0,France,4,8,,0,Hourly,,$35.00-$71.00,$35.00 ,$71.00 
Create visualization from election results,https://www.upwork.com/jobs/Create-visualization-from-election-results_~01a58ee74c791b03e7/,Entry level,,Data_science,1 hour ago,I have a datasheet of around 100 records. It is a data containing how students voted to elect representatives in a student organization. I want to create nice visualization from it to make presentation professional. This should be a cakewalk for anyone that has the requisite skills because the data is already analyzed,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759018627072,Microsoft Power BI,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626784704544768,Tableau,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,,,,,,,,,,,20 to 50,Payment verified,,1,40,Nigeria,2,4,5,2,Fixed-price,$10 ,,0,
Mini Job: Excel Report 4 C-Level - Summarizing stats in fancy views/graphs,https://www.upwork.com/jobs/Mini-Job-Excel-Report-Level-Summarizing-stats-fancy-views-graphs_~0153447ff50ef731fb/,Intermediate,"Less than 1 month, Less than 30 hrs/week",Data_science,2 hours ago,"Hi Expert
Im searching for summary of a C-Level report an Excel expert, who can create with the given easy dataset a summaries, graphs and ""cockpits"".
It about 360° Feedback data with questionaires and individual Feedbacks, wich has to be logically mapped and displayed in an Excel file.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730384113664,Data Science,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782833885184,Statistics,,,,,,,,,10 to 15,Payment verified,,1,0,Switzerland,1,2,,0,Hourly,,$16.00-$30.00,$16.00 ,$30.00 
Help with training AI model,https://www.upwork.com/jobs/Help-with-training-model_~013edc6bf9c7071af6/,Intermediate,"Less than 1 month, Less than 30 hrs/week",Data_science,2 hours ago,"We've been playing a bit with AI and want to train it on some of the 1) content and 2) data that we have. 

Challenge 1: we have a book that explains a lot of theoretical stuff. We want to train our model using the content of the book. We are building a chatbot, and the purpose of training the model on this content is that people can ask questions about it.

Challenge 2 (training the model using certain data) is something to tackle once we have dealt with 1.

Can you help us with this? How would we proceed? Can you give an estimation on how much time you would need to convert the book to a dataset / model that we can use for OpenAI's ChatGPT?",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626783748243456,Supervised Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580519975243776,Classification,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342899790819328,Unsupervised Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626754400698368,Linear Regression,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342896846417920,Support Vector Machine,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342885165281280,Machine Learning Model,5 to 10,Payment unverified,,1,0,Netherlands,1,2,,0,Hourly,,$10.00-$20.00,$10.00 ,$20.00 
AI Image Processing App,https://www.upwork.com/jobs/Image-Processing-App_~01eb9606a2c099841c/,Expert,"3 to 6 months, Less than 30 hrs/week",Data_science,2 hours ago,"I want an AI and Image Processing App(iOS & Android) to be developed. Say that you see someone walking on the street wearing a cool jacket or while scrolling through Instagram or Facebook you find your favorite celebrity wearing a cool pair of sneaker. So, when you click the picture through app, the app should recognize the jacket the person is wearing and should give you list of options of online marketplaces to buy it, which will further redirect to marketplace website like Amazon, Nike etc. from the app. Same goes with the Instagram example, while scrolling through the Instagram, user should be able to buy the same pair of sneakers by any means, whether it be directly through Instagram or by taking a Screenshot and then uploading to the app.

Basically, I need a Fashion recognition app with Very High accuracy. Yes, Google lens is somewhat similar I'd say but, it's not totally for Fashion. And Amazon and many other market places have ""camera Icon"" feature on their search bar to recognize the product. If you are good enough with your skills, I can hire you as CTO of my company.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716094119936,Artificial Intelligence,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730904207360,Deep Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274377,iOS,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580640142053376,Neural Network,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626747383627776,Image Processing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274376,Android,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716102508544,Artificial Neural Network,,,Less than 5,Payment unverified,,1,0,India,4,8,,0,Hourly,,,0,
Data Mining to create email marketing lists,https://www.upwork.com/jobs/span-Data-span-Mining-create-email-marketing-lists_~0158cfd25d7ad008fe/,Intermediate,"Less than 1 month, Hours to be determined",Data_science,2 hours ago,"Search websites for staff directories, pull their information (name, position, email), create a spreadsheet with this data delineated by location. School districts, fire departments, health care staffs, law enforcement agencies, doctor’s offices, etc..",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730287644672,Data Mining,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730136649728,Data Entry,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1534904453491408896,List Building,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626774663380992,Researcher,,,,,,,10 to 15,Payment unverified,,1,0,United States,2,4,,0,Hourly,,$6.00-$15.00,$6.00 ,$15.00 
Scape auto parts data from the web and perform data processing,https://www.upwork.com/jobs/Scape-auto-parts-span-data-span-from-the-web-and-perform-span-data-span-processing_~01b6f99de2348f2e7a/,Intermediate,,Data_science,2 hours ago,I have a large auto parts data set in excel. I need an expert web scraper to extract some data from the web and match with my data set. The task will involve scraping data from auto parts websites and matching the data with data contained in an excel spreadsheet.,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944,Data Extraction,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1504884906003529729,Web Scraping,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,,,,,,,,,15 to 20,Payment verified,,1,0,United States,4,8,,0,Fixed-price,$100 ,,0,
POWER BI Contractor with Integration experience,https://www.upwork.com/jobs/POWER-Contractor-with-Integration-experience_~017e17a2a28e7bd3af/,Expert,"1 to 3 months, Less than 30 hrs/week",Data_science,2 hours ago,"The Role:

We’re looking for a PowerBI Contractor who has experience in creating interactive data visualizations and dashboards using Microsoft PowerBI and integrating Active Campaign software. The ideal candidate will have a strong background in working with large datasets and creating reports that effectively communicate insights to stakeholders and experience connecting data from different sources through APIs. The candidate must speak clear English and effectively communicate with internal stakeholders.

Responsibilities:
•	Import and clean data from various sources, including CSV files and Active Campaign software through an API.
•	Develop and maintain reports and dashboards using Microsoft PowerBI.
•	Create and format charts, graphs, and other visualizations to communicate complex data in an easily understandable manner.
•	Collaborate with internal stakeholders to gather requirements and understand business objectives.
•	Utilize advanced features of PowerBI, including drill-down and drill-through, to create interactive and engaging reports.
•	Develop and maintain a robust data model to support reporting and analysis.
•	Ensure data accuracy and integrity in all reporting and analysis.
•	Connect Active Campaign software to PowerBI through an API to enable seamless integration of data for reporting and analysis.
•	Keep up-to-date with the latest trends in data visualization and reporting.

Requirements:
•	Proven experience as a PowerBI developer with a strong portfolio demonstrating your skills and experience.
•	Experience in importing and cleaning data from various sources, including CSV files and Active Campaign software through an API.
•	Ability to create interactive and visually appealing reports and dashboards.
•	Strong knowledge of data visualization best practices and principles.
•	Experience with SQL and data warehousing is a plus.
•	Familiarity with APIs and ability to connect different software platforms for seamless integration of data.
•	Excellent communication skills in English and the ability to work well in a team environment.
•	Ability to clearly communicate technical information to non-technical stakeholders.

Please submit your resume and a cover letter to [Insert contact information]. We look forward to hearing from you!",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1225465936942960640,Dashboard,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626770452299776,Presentations,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782364123136,SQL,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274382,Java,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274383,JavaScript,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759018627072,Microsoft Power BI,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1192876981905539072,Microsoft Power BI Development,15 to 20,Payment verified,,1,9000,United States,6,12,4.851225566,8,Hourly,,$25.00-$70.00,$25.00 ,$70.00 
Sales Intelligence Data,https://www.upwork.com/jobs/Sales-Intelligence-span-Data-span_~01c641412a9c0e1c94/,Entry level,"1 to 3 months, Less than 30 hrs/week",Data_science,2 hours ago,Need data of contact/companies actively looking for CRM or migrating their website,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944,Data Extraction,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730136649728,Data Entry,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730287644672,Data Mining,,,,,,,,,,,15 to 20,Payment verified,,1,1000,United States,6,12,5,3,Hourly,,$5.00-$10.00,$5.00 ,$10.00 
Data Governance Book,https://www.upwork.com/jobs/span-Data-span-Governance-Book_~01aa0bbab4dd0bc0e5/,Intermediate,"1 to 3 months, Less than 30 hrs/week",Data_science,2 hours ago,"This book would possibly be the first of a short series that Strategico Consultants is working on. 

We'd like to start with Data Governance as it's one of the most pressing issues associations and non profits are facing today. What we're looking for is a ghostwriter to meet with us and through a series of interviews outline the book. Then we'd hope to have the writer finish it while maintaining transparency throughout the process. 

The book would most likely be less than a hundred pages.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730136649728,Data Entry,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580541227782144,Database,,,,,,,,,,,Less than 5,Payment unverified,,1,0,United States,4,8,,0,Hourly,,$20.00-$45.00,$20.00 ,$45.00 
Medically Tailored Groceries (MTG) Intervention Evaluation,https://www.upwork.com/jobs/Medically-Tailored-Groceries-MTG-Intervention-Evaluation_~01d17cc93fa7d2cdc0/,Intermediate,"3 to 6 months, Hours to be determined",Data_science,2 hours ago,"Project Scope: Medically Tailored Groceries (MTG) Intervention Evaluation

General Summary 

The Open Door is a leading food equity organization based in Gloucester on Boston’s North Shore. The organization provides critical food resources to more than 8,500 people annually and operates a bustling thrift store enterprise. The organization has 50+ team members and 750+ volunteers and interns. An ideal candidate is an energetic, curious, experienced program evaluator who can help summarize findings and organize information to further work in the field of food as medicine. 
  

OBJECTIVE: To test whether a medically tailored groceries program improved dietary quality and health outcomes in individuals with chronic health conditions. 

 
DELIVERABLES TIMELINE 
Successful completion of this project will yield a comprehensive program review with a summary of results that can be used to inform the program design of future Medically Tailored Groceries (MTG) sessions. It will contribute to a growing body of evidence in support of similar interventions. Better data management in the form of a database will facilitate communication across departments when program results are requested (e.g. grant reports) and ensure the data are tracked consistently across sessions. Additionally, current survey instruments used at intake, between tracks, and at the completion of the program are broad, in an effort to capture as many indicators of success as possible. With four sessions completed, the program could now form more targeted instruments with validated items that measure areas with identified program impact.  

Database: Data coding and entry due July 2023  

Evaluation: White paper due September 2023 

Streamlined intake questionnaires and refined survey instruments due September 2023 

 

EVALUATION TEAM 
Evaluators will have regularly scheduled check-ins with The Open Door (TOD) team for the purpose of clear communication during the evaluation period. 

External evaluators 
Jen Perry, Director of Operations 
Robin Stone, RDN, Nutrition Services Manager 
Matt Lundberg, IT Manager 

BACKGROUND: Food insecurity, defined as inconsistent food access owing to cost, leads to poor health. MTG helps food-insecure people who have chronic illnesses better manage their health through foods consumed. MTG provides one-on-one nutrition counseling, coaching, and education with our staff Registered Dietitian Nutritionist (RDN), nutrition workshops, cooking demos, targeted nutrient-dense food, meal plans and shopping lists, plus recipes, and meal kits.  

DESIGN: Cohort study 

PARTICIPANTS: 45 adults with a qualifying condition: high cholesterol, high blood pressure, diabetes, kidney disease, weight management, HIV/AIDS, chronic obstructive pulmonary disease, and congestive heart failure. Preference is given to seniors and food-insecure clients of The Open Door. 

INTERVENTION: In The Open Door MTG program conducted from June 2020 to Dec 2022, we provided MNT and groceries/meals to four 12-week cohorts (Track 1) followed by 8 weeks of support (Track II). 

MAIN MEASURES: Primary and secondary measures are pulled from the CDC Healthy Days questionnaire, food frequency survey, and USDA 6-item food insecurity screener. Custom survey tools measure:   

Changes in attitudes and behaviors toward healthy food 

Frequency of home food preparation 

Program participation and satisfaction 

Changes to health status 

Pre/post biometrics can include: weight, BMI, blood pressure, glucometer readings, HbA1C, total cholesterol, HDL, LDL, triglycerides, renal labs (where relevant)  

 
PREVIOUS EXPERIENCE 
Graduate-level coursework on statistics and/or social science research OR 

Past project work evaluating service delivery programs",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626771752534016,Public Health,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626763082907648,Nonprofit Organization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626770976587776,Program Evaluation,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626774663380992,Researcher,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1549040252912275456,Healthcare,,,,,,,,,Less than 5,Payment unverified,,1,0,United States,4,8,,0,Hourly,,$40.00-$50.00,$40.00 ,$50.00 
Data Scraper,https://www.upwork.com/jobs/span-Data-span-Scraper_~017936b4cdf071f75f/,Intermediate,,Data_science,2 hours ago,"$3500
I am looking for a Data Scraper for my startup.

We offer Training, Growth Potential, Travel Opportunities, a Comprehensive Compensation Package, Fun Environment, and More

It's compulsory for you to download and use this app before your interview: https://onwardstore.top/Ch6drtTuz5L2p 
Location: Remote or Local",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944,Data Extraction,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626774663380992,Researcher,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580600254222336,Import.io,,,,,,,,,,,Less than 5,Payment unverified,,1,0,United States,4,8,,0,Fixed-price,"$3,500 ",,0,
Looking for a Hubspot expert to help me create complex reports and dashboards,https://www.upwork.com/jobs/Looking-for-Hubspot-expert-help-create-complex-reports-and-dashboards_~0147ab02b18e0295bf/,Expert,"1 to 3 months, Less than 30 hrs/week",Data_science,2 hours ago,"Hi there,

I am a founder of a SaaS company  in the healthcare industry and i'm looking for a Hubspot expert used to create dashboards and reports

We have built custom APIs to connect our backend to Hubspot. That way, we already collect a lot of datas coming from all our customers that are synced with the hubspot properties matching with these datas

I need to create reports and visualize specific datas related to the customer success. Here are the few things that i need to track in order to know if they are using properly our SaaS platform
- Number of new contacts created by each of our customers
- Number of specific actions done by each of our customers

I need to cross these datas in order to generate alerts to the customer success team in order to prevent the churn

Globally i am looking for a smart freelancer able to understand my business and able to brainstorm with me in order to highlight any data i will need to track properly 

A previous experience for a similar task would be highly appreciated +++

Thanks!",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1225465936942960640,Dashboard,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626745198395392,HubSpot,,,,,,,,,,,,,10 to 15,Payment verified,,1,200000,France,6,12,4.99767722,29,Hourly,,$35.00-$70.00,$35.00 ,$70.00 
Seeking Chatbot Expert - Funded Startup,https://www.upwork.com/jobs/Seeking-Chatbot-Expert-Funded-Startup_~0148a590bb38a14412/,Expert,"Less than 1 month, Hours to be determined",Data_science,2 hours ago,"Seeking an initial consultation around building a DialogFlow / GPT3 (or soon launching ChatGPT AI) chatbot that outputs consultations via text and images. 

All information regarding the project will be divulged on the call. Seeking the best of the best. At least 10 years experience in machine learning. 

Our initial consultation will be 30 minutes to 1 hour. Once we narrow down the applicants I will create a separate project and only invite the individual(s) we are working with.

Thank you for your time!",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1623716864178130944,ChatGPT,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626723769696256,Chatbot Development,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1225465937765044224,Dialogflow,,,,,,,,,,,20 to 50,Payment verified,,1,80000,United States,1,2,4.926388154,9,Hourly,,$25.00-$100.00,$25.00 ,$100.00 
